[28-05-2015 22:22:33] Contest set to ILSVRC

[28-05-2015 22:22:33] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[28-05-2015 22:22:40] Metadata loaded succesfully!

[28-05-2015 22:22:40] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[28-05-2015 22:22:41] Objects filepaths indexer loaded succesfully!

[28-05-2015 22:22:46] TRAINING
------------------------------
[28-05-2015 22:22:52] iter: 1/3740 | epoch 0/200 | error: 0.995011091232300
[28-05-2015 22:22:59] iter: 2/3740 | epoch 0/200 | error: 0.994959771633148
[28-05-2015 22:23:04] iter: 3/3740 | epoch 0/200 | error: 0.994887828826904
[28-05-2015 22:23:10] iter: 4/3740 | epoch 0/200 | error: 0.994743704795837
[28-05-2015 22:23:16] iter: 5/3740 | epoch 0/200 | error: 0.994452714920044

[28-05-2015 22:23:16] VALIDATING
--------------------------------
[28-05-2015 22:25:54] validation error: 0.995069444179535 accuracy: 0.000000%
[28-05-2015 22:25:55] validation error: 0.995065867900848 accuracy: 0.000000%
[28-05-2015 22:25:57] validation error: 0.995061457157135 accuracy: 0.000000%
[28-05-2015 22:25:58] validation error: 0.995054125785828 accuracy: 0.000000%
[28-05-2015 22:26:00] validation error: 0.995048582553864 accuracy: 0.000000%
[28-05-2015 22:26:01] validation error: 0.995044529438019 accuracy: 0.000000%
[28-05-2015 22:26:02] validation error: 0.995031058788300 accuracy: 0.000000%
[28-05-2015 22:26:04] validation error: 0.995014965534210 accuracy: 0.000000%
[28-05-2015 22:26:05] validation error: 0.995016336441040 accuracy: 0.000000%
[28-05-2015 22:26:07] validation error: 0.995018780231476 accuracy: 0.000000%
[28-05-2015 22:26:08] validation error: 0.995016694068909 accuracy: 0.000000%
[28-05-2015 22:26:10] validation error: 0.995011806488037 accuracy: 0.000000%
[28-05-2015 22:26:11] validation error: 0.995000004768372 accuracy: 0.000000%
[28-05-2015 22:26:13] validation error: 0.994996368885040 accuracy: 0.000000%
[28-05-2015 22:26:14] validation error: 0.995003521442413 accuracy: 0.000000%
[28-05-2015 22:26:16] validation error: 0.995014905929565 accuracy: 0.000000%
[28-05-2015 22:26:17] validation error: 0.995029747486115 accuracy: 0.000000%
[28-05-2015 22:26:18] validation error: 0.995033502578735 accuracy: 0.000000%
[28-05-2015 22:26:20] validation error: 0.995032250881195 accuracy: 0.000000%
[28-05-2015 22:26:21] validation error: 0.995030581951141 accuracy: 0.000000%
[28-05-2015 22:26:23] validation error: 0.995028793811798 accuracy: 0.000000%
[28-05-2015 22:26:24] validation error: 0.995025753974915 accuracy: 0.000000%
[28-05-2015 22:26:26] validation error: 0.995022416114807 accuracy: 0.000000%
